456716.4806,3789857.762
456716.6543,3789857.484
456717.4261,3789857.111
456717.1654,3789856.496
456715.2785,3789858.66
456719.343,3789857.472
456718.7758,3789856.273
456717.9613,3789857.355
456717.7761,3789857.14
456717.4336,3789858.743
456717.4121,3789866.043
456719.7563,3789863.229
456719.9099,3789864.585
456719.8058,3789857.993
456723.0592,3789858.624
456722.51,3789861.338
456720.0997,3789861.812
456720.3302,3789861.871
456722.1241,3789861.525
456721.3552,3789860.512
456724.1003,3789856.772
456721.9631,3789860.54
456721.4162,3789857.77
456720.3538,3789861.009
456721.3019,3789860.943
456721.3722,3789860.203
456726.4989,3789861.72
456729.538,3789861.829
456737.797,3789859.696
456733.8903,3789857.158
456732.7533,3789860.182
456737.635,3789858.496
456733.4884,3789863.843
456730.3908,3789863.057
456735.1765,3789862.511
456735.747,3789864.418
456735.574,3789854.871
456731.4956,3789859.017
456718.3703,3789862.189
456719.0759,3789861.446
456716.5297,3789862.412
456714.8753,3789865.069
456715.031,3789864.884
456713.5953,3789865.044
456719.8639,3789864.585
456718.3966,3789863.883
456713.4275,3789866.585
456716.5088,3789863.861
456718.4988,3789864.098
456715.5728,3789866.545
456720.0887,3789863.413
456717.9406,3789864.84
456717.8952,3789864.994
456719.1844,3789866.99
456716.5893,3789865.338
456713.071,3789861.165
456723.13,3789863.984
456730.5817,3789864.504
456732.2659,3789858.336
456732.7998,3789864.278
456738.1461,3789863.515
456736.4407,3789865.093
456717.8653,3789864.501
456719.7676,3789861.689
456722.0788,3789863.681
